epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3672.09,1.27866,1.23234,1.30398,0.65955,0.84445,0.80635,0.48215,1.43404,1.08035,1.49648,0.000359409,0.000359409,0.000359409
84,3716.41,1.2966,1.21448,1.30224,0.71421,0.84938,0.79462,0.46548,1.43375,1.04711,1.50669,0.000350243,0.000350243,0.000350243
85,3760.39,1.26156,1.19546,1.28457,0.68883,0.81509,0.80201,0.46487,1.44316,1.09244,1.50626,0.000341077,0.000341077,0.000341077
86,3804.33,1.27958,1.18151,1.30371,0.72617,0.79764,0.81376,0.4735,1.42973,1.06445,1.51365,0.000331911,0.000331911,0.000331911
87,3848.56,1.29318,1.18685,1.29962,0.75286,0.82562,0.81546,0.48407,1.42762,1.03209,1.50886,0.000322745,0.000322745,0.000322745
88,3892.37,1.2786,1.18458,1.2826,0.69238,0.83921,0.82128,0.49832,1.41334,1.05508,1.51131,0.00031358,0.00031358,0.00031358
89,3935.91,1.28265,1.17908,1.29642,0.70555,0.74676,0.79286,0.44997,1.50958,1.11071,1.54445,0.000304414,0.000304414,0.000304414
90,3979.61,1.28141,1.15406,1.28948,0.76092,0.79324,0.8316,0.4776,1.42731,1.01813,1.481,0.000295248,0.000295248,0.000295248
91,4022.89,1.27906,1.17266,1.2846,0.76467,0.7767,0.80843,0.4724,1.4465,1.0873,1.51484,0.000286083,0.000286083,0.000286083
92,4066.39,1.26018,1.15633,1.27795,0.68126,0.83475,0.82005,0.49349,1.40344,1.01857,1.49322,0.000276917,0.000276917,0.000276917
93,4109.99,1.22318,1.10733,1.25988,0.77933,0.76494,0.82,0.49154,1.43714,1.03276,1.51293,0.000267751,0.000267751,0.000267751
94,4154.07,1.24813,1.12231,1.27651,0.74261,0.80314,0.81263,0.48653,1.40452,1.03374,1.51159,0.000258585,0.000258585,0.000258585
95,4198.21,1.20957,1.09968,1.26394,0.71309,0.87124,0.83421,0.5056,1.4053,1.01017,1.50137,0.00024942,0.00024942,0.00024942
96,4245.46,1.21209,1.09044,1.25877,0.68659,0.82059,0.78786,0.47047,1.44977,1.08193,1.53002,0.000240254,0.000240254,0.000240254
97,4289.88,1.23684,1.11313,1.26648,0.72485,0.83829,0.81772,0.49775,1.40374,0.98884,1.49678,0.000231088,0.000231088,0.000231088
98,4333.3,1.20801,1.10351,1.25453,0.69836,0.84278,0.81223,0.48095,1.44209,1.04625,1.53411,0.000221922,0.000221922,0.000221922
